,lon,lat,angle,norm,pid_sub,pid_over,length,total_vel,vel,trench_vel,slab_vel_abs,slab_flux,slab_age,spreading_rate,slab_thickness,vratio,slab_dip,trench_ID,Name,Type,Class,density,relative_density
1026,-77.48671815506346,-49.288864194691406,26.529447519882865,74.95614297710216,802.0,201.0,41277.54866634375,0.020772899250721,0.0185856151059973,0.0168052123217314,0.03523333653148,1952.8724612771296,206.0,0.0373799189280235,105074.40567016602,1.0,,26,South America,Ocean - Continent,Erosive,3314.4466650347813,14.44666503478129
1027,-77.48671815506346,-49.288864194691406,26.529447519882865,74.95614297710216,802.0,201.0,41277.54866634375,0.020772899250721,0.0185856151059973,0.0168052123217314,0.03523333653148,1952.8724612771296,206.0,0.0373799189280235,105074.40567016602,1.0,,26,South Chile,Ocean - Continent,Accretionary,3314.4466650347813,14.44666503478129
1028,-77.50316683814891,-48.8794337469549,2.16634766413155,99.23123103448089,802.0,201.0,51860.00328636542,0.0209318842931586,0.0209169240850089,0.0091148431443148,0.0303289025199834,835.2224598453861,15.025155382016864,0.035419454097744,39930.46283721924,1.0,,26,Ecuador,Ocean - Continent,Erosive,3254.6189572885855,-45.381042711414466
1029,-77.50316683814891,-48.8794337469549,2.16634766413155,99.23123103448089,802.0,201.0,51860.00328636542,0.0209318842931586,0.0209169240850089,0.0091148431443148,0.0303289025199834,835.2224598453861,15.025155382016864,0.035419454097744,39930.46283721924,1.0,,26,South America,Ocean - Continent,Erosive,3254.6189572885855,-45.381042711414466
1030,-77.50316683814891,-48.8794337469549,2.16634766413155,99.23123103448089,802.0,201.0,51860.00328636542,0.0209318842931586,0.0209169240850089,0.0091148431443148,0.0303289025199834,835.2224598453861,15.025155382016864,0.035419454097744,39930.46283721924,1.0,,26,South Chile,Ocean - Continent,Accretionary,3254.6189572885855,-45.381042711414466
1031,-77.39043629541841,-48.41903107366336,2.147426486817489,99.14660588433054,802.0,201.0,51860.00328636542,0.0211162295879508,0.0211014000750398,0.0086791047734614,0.0300749552104439,841.8818208115518,15.0,0.0350070225593576,39896.96502685547,1.0,,26,Ecuador,Ocean - Continent,Erosive,3254.5556667648884,-45.44433323511157
1032,-77.39043629541841,-48.41903107366336,2.147426486817489,99.14660588433054,802.0,201.0,51860.00328636542,0.0211162295879508,0.0211014000750398,0.0086791047734614,0.0300749552104439,841.8818208115518,15.0,0.0350070225593576,39896.96502685547,1.0,,26,South America,Ocean - Continent,Erosive,3254.5556667648884,-45.44433323511157
1033,-77.39043629541841,-48.41903107366336,2.147426486817489,99.14660588433054,802.0,201.0,51860.00328636542,0.0211162295879508,0.0211014000750398,0.0086791047734614,0.0300749552104439,841.8818208115518,15.0,0.0350070225593576,39896.96502685547,1.0,,26,South Chile,Ocean - Continent,Accretionary,3254.5556667648884,-45.44433323511157
1034,-77.13970245462048,-48.04523169536386,-30.94630658851305,132.1498337220984,802.0,201.0,43111.29369884832,0.0212730188350024,0.018244795674241,-0.0039232415416085,0.0151394265964533,677.6489005354969,13.0,0.0086241341958163,37142.038345336914,0.784966539957058,,26,Ecuador,Ocean - Continent,Erosive,3248.959754147751,-51.04024585224897
1035,-77.13970245462048,-48.04523169536386,-30.94630658851305,132.1498337220984,802.0,201.0,43111.29369884832,0.0212730188350024,0.018244795674241,-0.0039232415416085,0.0151394265964533,677.6489005354969,13.0,0.0086241341958163,37142.038345336914,0.784966539957058,,26,South America,Ocean - Continent,Erosive,3248.959754147751,-51.04024585224897
1036,-77.13970245462048,-48.04523169536386,-30.94630658851305,132.1498337220984,802.0,201.0,43111.29369884832,0.0212730188350024,0.018244795674241,-0.0039232415416085,0.0151394265964533,677.6489005354969,13.0,0.0086241341958163,37142.038345336914,0.784966539957058,,26,South Chile,Ocean - Continent,Accretionary,3248.959754147751,-51.04024585224897
1037,-76.75268756977778,-47.75713494762058,-30.73794631364227,131.86267127054697,802.0,201.0,43111.29369884832,0.0214029721141887,0.0183961532435771,-0.0042857701862656,0.0149259698656556,599.2680568821548,10.0,0.0782789390000881,32575.72650909424,0.7670290016875119,,26,Ecuador,Ocean - Continent,Erosive,3237.5999147168795,-62.40008528312046
1038,-76.75268756977778,-47.75713494762058,-30.73794631364227,131.86267127054697,802.0,201.0,43111.29369884832,0.0214029721141887,0.0183961532435771,-0.0042857701862656,0.0149259698656556,599.2680568821548,10.0,0.0782789390000881,32575.72650909424,0.7670290016875119,,26,South America,Ocean - Continent,Erosive,3237.5999147168795,-62.40008528312046
1039,-76.75268756977778,-47.75713494762058,-30.73794631364227,131.86267127054697,802.0,201.0,43111.29369884832,0.0214029721141887,0.0183961532435771,-0.0042857701862656,0.0149259698656556,599.2680568821548,10.0,0.0782789390000881,32575.72650909424,0.7670290016875119,,26,South Chile,Ocean - Continent,Accretionary,3237.5999147168795,-62.40008528312046
1040,-76.25267500982649,-47.516062288358974,-53.92838823373137,154.9783700250977,802.0,201.0,50976.89319152537,0.021519998890314,0.0126708882293203,-0.0127501436124473,0.0009519073220688,412.7633895856417,10.0,0.0782789390000881,32575.72650909424,0.0,,26,Ecuador,Ocean - Continent,Erosive,3237.5999147168795,-62.40008528312046
1041,-76.25267500982649,-47.516062288358974,-53.92838823373137,154.9783700250977,802.0,201.0,50976.89319152537,0.021519998890314,0.0126708882293203,-0.0127501436124473,0.0009519073220688,412.7633895856417,10.0,0.0782789390000881,32575.72650909424,0.0,,26,South America,Ocean - Continent,Erosive,3237.5999147168795,-62.40008528312046
1042,-76.25267500982649,-47.516062288358974,-53.92838823373137,154.9783700250977,802.0,201.0,50976.89319152537,0.021519998890314,0.0126708882293203,-0.0127501436124473,0.0009519073220688,412.7633895856417,10.0,0.0782789390000881,32575.72650909424,0.0,,26,South Chile,Ocean - Continent,Accretionary,3237.5999147168795,-62.40008528312046
